Voyage au bout de l'enfer,#,"De
Michael Cimino",#,"3h 03min
|
Drame,
Guerre",#,"Avec
Robert De Niro,
Christopher Walken,
Meryl Streep",#,"4,7",#,"4,4",#,,#,"Entre Amérique et Viêtnam, le parcours et le destin tragiques d'une bande d'amis soudés, confrontés aux horreurs et aux injustices de la guerre.",//
"Les Enfants Loups, Ame & Yuki",#,"De
Mamoru Hosoda",#,"1h 57min
|
Animation,
Fantastique",#,"Avec
Kumiko Aso,
Megumi Hayashibara,
Takuma Hiraoka",#,"4,1",#,"4,4",#,à partir de 6 ans,#,"Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants...",//
Tu ne tueras point,#,"De
Mel Gibson",#,"2h 20min
|
Biopic,
Drame,
Guerre",#,"Avec
Andrew Garfield,
Vince Vaughn,
Teresa Palmer",#,"3,0",#,"4,4",#,,#,"1945, alors que la guerre dans le Pacifique fait rage et que les forces américaines mènent l’une des batailles les plus acharnées du conflit sur l’île d’Okinawa, un soldat s’est distingué. Fidèle à ses convictions et armé de son seul courage, il a sauvé la vie de dizaines de soldats blessés.",//
L'Intendant Sansho,#,"De
Kenji Mizoguchi",#,"2h 04min
|
Drame",#,"Avec
Kinuyo Tanaka,
Yoshiaki Hanayagi,
Kyôko Kagawa",#,"5,0",#,"4,4",#,,#,"XIe siècle. Un gouverneur de province est exilé pour avoir pris le parti des paysans contre l’avis d’un chef militaire. Contraints de reprendre la route de son village natal, sa femme Nakagimi et ses enfants Anju et Zushio sont kidnappés par des bandits de grand chemin...",//
Harakiri,#,"De
Masaki Kobayashi",#,"2h 13min
|
Drame",#,"Avec
Tatsuya Nakadai,
Shima Iwashita,
Akira Ishihama",#,"4,6",#,"4,4",#,,#,"Japon, 17ème siècle. Le samouraï Tsugumo vient se présenter à la demeure du clan Lyi. Il veut se faire Hara-kiri. Mais le maître des lieux essaie bien de l'en dissuader. Tsugumo livre alors dans un récit les vraies raisons de son geste...",//
Je verrai toujours vos visages,#,"De
Jeanne Herry",#,"1h 58min
|
Drame",#,"Avec
Birane Ba,
Leïla Bekhti,
Dali Benssalah",#,"4,1",#,"4,4",#,,#,"Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel.",//
Princesse Mononoké,#,"De
Hayao Miyazaki",#,"2h 15min
|
Aventure,
Animation,
Fantastique",#,"Avec
Billy Crudup,
Billy Bob Thornton,
Minnie Driver",#,"4,8",#,"4,4",#,à partir de 10 ans,#,"Japon, XVe siècle. Jadis protégée par des animaux géants, la forêt se dépeuple à cause de l'homme. Blessé par un sanglier rendu fou par les démons, le jeune guerrier Ashitaka quitte les siens et part à la recherche du dieu-cerf qui seul pourra défaire le sortilège qui lui gangrène le bras. Au cours de son voyage, Ashitaka rencontre Lady Eboshi, à la tête d’une communauté de forgerons, qui doit se défendre contre ceux qui lui reprochent de détruire la forêt pour alimenter ses forges. Parmi ses pires ennemis se trouve San, une jeune fille sauvage élevée par des loups, aussi appelée ""Princesse Mononoké"", la princesse des spectres...",//
Le Pianiste,#,"De
Roman Polanski",#,"2h 28min
|
Drame,
Historique",#,"Avec
Adrien Brody,
Thomas Kretschmann,
Emilia Fox",#,"4,1",#,"4,4",#,,#,"Durant la Seconde Guerre mondiale, Wladyslaw Szpilman, un pianiste juif polonais, est interné dans le ghetto de Varsovie dont il partage les souffrances, les humiliations et les luttes héroïques. Un officier allemand l'aide et lui permet de survivre.",//
Spider-Man : New Generation,#,"De
Bob Persichetti,
Peter Ramsey,
Rodney Rothman",#,"1h 57min
|
Action,
Animation,
Famille",#,"Avec
Stéphane Bak,
Shameik Moore,
Jake Johnson",#,"4,2",#,"4,4",#,à partir de 8 ans,#,"SPIDER-MAN : NEW GENERATION présente Miles Morales, un adolescent vivant à Brooklyn, et révèle les possibilités illimitées du Spider-Verse, un univers où plus d’un peut porter le masque…",//
Indiana Jones et la Dernière Croisade,#,"De
Steven Spielberg",#,"2h 07min
|
Action,
Aventure",#,"Avec
Harrison Ford,
Sean Connery,
Denholm Elliott",#,"4,4",#,"4,4",#,à partir de 10 ans,#,"L'archéologue aventurier Indiana Jones se retrouve aux prises avec un maléfique milliardaire. Aux côtés de la cupide Elsa et de son père, il part à la recherche du Graal.",//
Les Sentiers de la gloire,#,"De
Stanley Kubrick",#,"1h 28min
|
Drame,
Guerre",#,"Avec
Kirk Douglas,
Ralph Meeker,
Adolphe Menjou",#,"4,6",#,"4,4",#,,#,"Durant la Première Guerre mondiale, le général français Mireau lance une offensive suicidaire contre une position allemande imprenable. Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons refusent d'avancer...",//
